Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget Margin,Budget Sales,Budget COGS,Date,Market,State,Area Code,Market Size,Product Type,Product,Type
94,130,219,89,36,24,777,100,130,220,90,1/1/10,Central,Colorado,719,Major Market,Coffee,Amaretto,Regular
68,107,190,83,39,27,623,80,110,190,80,1/1/10,Central,Colorado,970,Major Market,Coffee,Columbian,Regular
101,139,234,95,38,26,821,110,140,240,100,1/1/10,Central,Colorado,970,Major Market,Coffee,Decaf Irish Cream,Decaf
30,56,100,44,26,14,623,30,50,80,30,1/1/10,Central,Colorado,303,Major Market,Tea,Green Tea,Regular
54,80,134,54,26,15,456,70,90,150,60,1/1/10,Central,Colorado,303,Major Market,Espresso,Caffe Mocha,Regular
53,108,180,72,55,23,558,80,130,210,80,1/1/10,Central,Colorado,720,Major Market,Espresso,Decaf Espresso,Decaf
99,171,341,170,72,47,1091,110,160,300,140,1/1/10,Central,Colorado,970,Major Market,Herbal Tea,Chamomile,Decaf
0,87,150,63,87,57,435,20,80,130,50,1/1/10,Central,Colorado,719,Major Market,Herbal Tea,Lemon,Decaf
33,80,140,60,47,19,336,40,70,120,50,1/1/10,Central,Colorado,970,Major Market,Herbal Tea,Mint,Decaf
17,72,130,58,55,22,338,20,70,110,40,1/1/10,Central,Colorado,719,Major Market,Tea,Darjeeling,Regular
36,76,140,64,40,19,965,40,70,120,50,1/1/10,Central,Colorado,303,Major Market,Tea,Earl Grey,Regular
111,201,345,144,90,47,862,130,210,360,150,1/1/10,Central,Illinois,217,Major Market,Coffee,Columbian,Regular
87,139,234,95,52,30,608,100,140,240,100,1/1/10,Central,Illinois,309,Major Market,Coffee,Decaf Irish Cream,Decaf
203,312,546,234,109,77,1310,260,370,640,270,1/1/10,Central,Illinois,309,Major Market,Espresso,Caffe Mocha,Regular
140,228,456,228,88,63,1459,180,270,530,260,1/1/10,Central,Illinois,630,Major Market,Espresso,Decaf Espresso,Decaf
95,130,219,89,35,24,777,100,120,190,70,1/1/10,Central,Illinois,312,Major Market,Herbal Tea,Chamomile,Decaf
68,107,190,83,39,27,623,60,90,160,70,1/1/10,Central,Illinois,630,Major Market,Herbal Tea,Lemon,Decaf
101,139,234,95,38,26,821,100,120,200,80,1/1/10,Central,Illinois,773,Major Market,Herbal Tea,Mint,Decaf
53,80,134,54,27,15,456,50,70,110,40,1/1/10,Central,Illinois,217,Major Market,Tea,Darjeeling,Regular
54,108,180,72,54,23,558,40,90,150,60,1/1/10,Central,Illinois,708,Major Market,Tea,Earl Grey,Regular
11,27,45,18,16,5,821,20,30,40,10,1/1/10,Central,Iowa,319,Small Market,Coffee,Amaretto,Regular
5,34,62,28,29,8,965,20,40,60,20,1/1/10,Central,Iowa,641,Small Market,Coffee,Columbian,Regular
12,31,54,23,19,7,623,20,30,50,20,1/1/10,Central,Iowa,712,Small Market,Coffee,Decaf Irish Cream,Decaf
11,26,43,17,15,4,777,30,40,50,10,1/1/10,Central,Iowa,563,Small Market,Espresso,Caffe Mocha,Regular
10,26,43,17,16,4,777,30,40,50,10,1/1/10,Central,Iowa,563,Small Market,Espresso,Decaf Espresso,Decaf
202,312,546,234,110,77,1310,200,280,480,200,1/1/10,Central,Iowa,641,Small Market,Herbal Tea,Chamomile,Decaf
86,139,234,95,53,30,608,90,120,200,80,1/1/10,Central,Iowa,563,Small Market,Herbal Tea,Lemon,Decaf
141,228,456,228,87,63,1459,140,210,400,190,1/1/10,Central,Iowa,712,Small Market,Tea,Darjeeling,Regular
175,301,546,245,126,93,1419,160,270,480,210,1/1/10,Central,Iowa,319,Small Market,Tea,Earl Grey,Regular
39,105,190,85,66,32,494,40,100,190,90,1/1/10,Central,Missouri,636,Small Market,Coffee,Columbian,Regular
47,92,170,78,45,24,965,50,90,170,80,1/1/10,Central,Missouri,573,Small Market,Coffee,Decaf Irish Cream,Decaf
-4,42,76,34,46,12,197,0,40,60,20,1/1/10,Central,Missouri,417,Small Market,Tea,Green Tea,Regular
48,73,123,50,25,14,821,70,90,140,50,1/1/10,Central,Missouri,573,Small Market,Espresso,Caffe Mocha,Regular
45,68,114,46,23,12,777,60,80,130,50,1/1/10,Central,Missouri,660,Small Market,Espresso,Decaf Espresso,Decaf
-11,53,90,37,64,34,261,0,40,70,30,1/1/10,Central,Missouri,573,Small Market,Herbal Tea,Chamomile,Decaf
-39,11,99,88,50,27,525,-20,10,80,70,1/1/10,Central,Missouri,314,Small Market,Herbal Tea,Lemon,Decaf
9,47,82,35,38,11,196,10,40,70,30,1/1/10,Central,Missouri,314,Small Market,Tea,Darjeeling,Regular
-9,36,65,29,45,11,169,-10,30,50,20,1/1/10,Central,Missouri,573,Small Market,Tea,Earl Grey,Regular
34,80,140,60,46,19,336,50,80,140,60,1/1/10,Central,Ohio,740,Major Market,Coffee,Amaretto,Regular
42,83,140,57,41,18,364,50,80,140,60,1/1/10,Central,Ohio,614,Major Market,Coffee,Columbian,Regular
0,87,150,63,87,57,435,20,90,150,60,1/1/10,Central,Ohio,614,Major Market,Coffee,Decaf Irish Cream,Decaf
67,116,200,84,49,26,500,60,100,170,70,1/1/10,Central,Ohio,216,Major Market,Tea,Earl Grey,Regular
16,72,130,58,56,22,338,40,90,150,60,1/1/10,Central,Ohio,614,Major Market,Espresso,Decaf Espresso,Decaf
99,171,341,170,72,47,1091,140,210,400,190,1/1/10,Central,Ohio,614,Major Market,Espresso,Caffe Mocha,Regular
29,48,80,32,19,8,456,50,50,70,20,1/1/10,Central,Ohio,937,Major Market,Herbal Tea,Chamomile,Decaf
29,48,80,32,19,8,821,50,50,70,20,1/1/10,Central,Ohio,740,Major Market,Herbal Tea,Lemon,Decaf
68,126,210,84,58,27,651,60,110,180,70,1/1/10,Central,Ohio,567,Major Market,Tea,Darjeeling,Regular
13,66,120,54,53,20,312,30,70,120,50,1/1/10,Central,Wisconsin,262,Small Market,Coffee,Amaretto,Regular
9,111,190,79,102,72,551,20,110,190,80,1/1/10,Central,Wisconsin,262,Small Market,Coffee,Columbian,Regular
51,103,180,77,52,25,432,60,100,180,80,1/1/10,Central,Wisconsin,414,Small Market,Coffee,Decaf Irish Cream,Decaf
7,105,180,75,98,68,522,10,90,150,60,1/1/10,Central,Wisconsin,262,Small Market,Tea,Earl Grey,Regular
34,62,110,48,28,15,623,50,70,120,50,1/1/10,Central,Wisconsin,262,Small Market,Espresso,Decaf Espresso,Decaf
38,81,150,69,43,21,965,50,90,170,80,1/1/10,Central,Wisconsin,414,Small Market,Espresso,Caffe Mocha,Regular
70,113,180,67,43,20,400,80,100,150,50,1/1/10,Central,Wisconsin,715,Small Market,Herbal Tea,Chamomile,Decaf
28,48,81,33,20,9,777,50,50,70,20,1/1/10,Central,Wisconsin,715,Small Market,Herbal Tea,Lemon,Decaf
47,89,150,61,42,19,390,50,80,130,50,1/1/10,Central,Wisconsin,608,Small Market,Tea,Darjeeling,Regular
47,73,123,50,26,14,821,60,80,130,50,1/1/10,East,Connecticut,475,Small Market,Tea,Darjeeling,Regular
35,56,94,38,21,10,777,40,60,100,40,1/1/10,East,Connecticut,475,Small Market,Tea,Green Tea,Regular
30,75,130,55,45,18,312,40,70,120,50,1/1/10,East,Connecticut,475,Small Market,Espresso,Decaf Espresso,Decaf
7,105,180,75,98,68,522,20,100,170,70,1/1/10,East,Connecticut,860,Small Market,Espresso,Caffe Mocha,Regular
115,186,310,124,71,40,961,130,180,290,110,1/1/10,East,Connecticut,475,Small Market,Coffee,Columbian,Regular
40,105,190,85,65,32,494,40,80,140,60,1/1/10,East,Connecticut,860,Small Market,Herbal Tea,Lemon,Decaf
47,92,170,78,45,24,965,50,80,130,50,1/1/10,East,Connecticut,475,Small Market,Herbal Tea,Mint,Decaf
28,48,80,32,20,8,821,40,50,80,30,1/1/10,East,Florida,954,Major Market,Tea,Darjeeling,Regular
28,48,81,33,20,9,777,40,50,80,30,1/1/10,East,Florida,754,Major Market,Tea,Green Tea,Regular
50,103,180,77,53,25,432,60,100,170,70,1/1/10,East,Florida,754,Major Market,Espresso,Decaf Espresso,Decaf
9,111,190,79,102,72,551,30,110,180,70,1/1/10,East,Florida,239,Major Market,Espresso,Caffe Mocha,Regular
67,116,200,84,49,26,500,70,110,190,80,1/1/10,East,Florida,754,Major Market,Coffee,Decaf Irish Cream,Decaf
68,126,210,84,58,27,651,70,110,190,80,1/1/10,East,Florida,954,Major Market,Coffee,Columbian,Regular
34,62,110,48,28,15,623,30,50,80,30,1/1/10,East,Florida,863,Major Market,Herbal Tea,Chamomile,Decaf
13,66,120,54,53,20,312,20,50,90,40,1/1/10,East,Florida,239,Major Market,Herbal Tea,Lemon,Decaf
39,81,150,69,42,21,965,40,60,110,50,1/1/10,East,Florida,772,Major Market,Herbal Tea,Mint,Decaf
29,48,80,32,19,8,821,40,50,80,30,1/1/10,East,Massachusetts,508,Major Market,Tea,Darjeeling,Regular
29,48,80,32,19,8,456,40,50,80,30,1/1/10,East,Massachusetts,781,Major Market,Tea,Green Tea,Regular
100,171,341,170,71,47,1091,110,170,330,160,1/1/10,East,Massachusetts,978,Major Market,Espresso,Regular Espresso,Regular
-23,63,126,63,86,57,435,-10,60,120,60,1/1/10,East,Massachusetts,781,Major Market,Espresso,Caffe Mocha,Regular
367,422,494,72,55,23,558,360,400,460,60,1/1/10,East,Massachusetts,413,Major Market,Coffee,Columbian,Regular
17,72,130,58,55,22,338,30,60,100,40,1/1/10,East,Massachusetts,339,Major Market,Herbal Tea,Lemon,Decaf
10,27,45,18,17,5,821,20,30,40,10,1/1/10,East,New Hampshire,603,Small Market,Tea,Darjeeling,Regular
11,26,43,17,15,4,777,20,30,40,10,1/1/10,East,New Hampshire,603,Small Market,Tea,Green Tea,Regular
-8,36,65,29,44,11,169,0,40,60,20,1/1/10,East,New Hampshire,603,Small Market,Espresso,Regular Espresso,Regular
-10,53,90,37,63,34,261,0,50,80,30,1/1/10,East,New Hampshire,603,Small Market,Espresso,Caffe Mocha,Regular
20,55,93,38,35,12,241,30,50,80,30,1/1/10,East,New Hampshire,603,Small Market,Coffee,Amaretto,Regular
25,72,120,48,47,15,372,40,70,110,40,1/1/10,East,New Hampshire,603,Small Market,Coffee,Columbian,Regular
-4,42,76,34,46,12,197,0,30,50,20,1/1/10,East,New Hampshire,603,Small Market,Herbal Tea,Lemon,Decaf
101,139,234,95,38,26,821,120,150,250,100,1/1/10,East,New York,347,Major Market,Tea,Darjeeling,Regular
94,130,219,89,36,24,777,110,140,230,90,1/1/10,East,New York,646,Major Market,Tea,Earl Grey,Regular
54,80,134,54,26,15,456,70,90,140,50,1/1/10,East,New York,347,Major Market,Tea,Green Tea,Regular
175,262,490,228,87,63,1459,200,270,480,210,1/1/10,East,New York,631,Major Market,Espresso,Regular Espresso,Regular
-172,-44,61,105,128,95,725,-170,-50,50,100,1/1/10,East,New York,315,Major Market,Espresso,Caffe Mocha,Regular
262,407,678,271,145,94,2101,260,380,640,260,1/1/10,East,New York,716,Major Market,Coffee,Columbian,Regular
111,238,483,245,127,93,1419,100,190,370,180,1/1/10,East,New York,607,Major Market,Herbal Tea,Lemon,Decaf
-113,-27,180,207,86,64,965,-70,-10,140,150,1/1/10,East,New York,845,Major Market,Herbal Tea,Mint,Decaf
70,113,180,67,43,20,400,80,100,150,50,1/1/10,South,Louisiana,337,Small Market,Espresso,Caffe Mocha,Regular
48,89,150,61,41,19,390,50,70,120,50,1/1/10,South,Louisiana,337,Small Market,Espresso,Decaf Espresso,Decaf
35,63,112,49,28,16,623,40,60,100,40,1/1/10,South,Louisiana,337,Small Market,Herbal Tea,Chamomile,Decaf
40,105,190,85,65,32,494,40,100,180,80,1/1/10,South,Louisiana,504,Small Market,Herbal Tea,Lemon,Decaf
8,105,180,75,97,68,522,10,90,150,60,1/1/10,South,Louisiana,504,Small Market,Espresso,Caffe Latte,Regular
30,51,85,34,21,9,777,50,60,100,40,1/1/10,South,Louisiana,225,Small Market,Coffee,Columbian,Regular
28,48,81,33,20,9,777,50,60,100,40,1/1/10,South,Louisiana,985,Small Market,Coffee,Decaf Irish Cream,Decaf
-10,53,90,37,63,34,261,-10,40,70,30,1/1/10,South,New Mexico,505,Small Market,Espresso,Caffe Mocha,Regular
9,47,82,35,38,11,196,10,40,70,30,1/1/10,South,New Mexico,505,Small Market,Espresso,Decaf Espresso,Decaf
11,27,45,18,16,5,821,20,30,40,10,1/1/10,South,New Mexico,505,Small Market,Herbal Tea,Chamomile,Decaf
4,34,62,28,30,8,965,20,40,60,20,1/1/10,South,New Mexico,505,Small Market,Herbal Tea,Lemon,Decaf
-8,36,65,29,44,11,169,0,30,50,20,1/1/10,South,New Mexico,505,Small Market,Espresso,Caffe Latte,Regular
26,72,120,48,46,15,372,50,90,150,60,1/1/10,South,New Mexico,505,Small Market,Coffee,Columbian,Regular
-39,11,99,88,50,27,525,-30,10,120,110,1/1/10,South,New Mexico,505,Small Market,Coffee,Decaf Irish Cream,Decaf
28,48,80,32,20,8,456,40,40,60,20,1/1/10,South,Oklahoma,405,Small Market,Espresso,Caffe Mocha,Regular
67,126,210,84,59,27,651,70,110,180,70,1/1/10,South,Oklahoma,405,Small Market,Espresso,Decaf Espresso,Decaf
13,66,120,54,53,20,312,20,60,110,50,1/1/10,South,Oklahoma,918,Small Market,Herbal Tea,Chamomile,Decaf
10,111,190,79,101,72,551,30,110,180,70,1/1/10,South,Oklahoma,580,Small Market,Herbal Tea,Lemon,Decaf
66,116,200,84,50,26,500,70,100,170,70,1/1/10,South,Oklahoma,405,Small Market,Espresso,Caffe Latte,Regular
29,56,100,44,27,14,623,50,70,120,50,1/1/10,South,Oklahoma,580,Small Market,Coffee,Columbian,Regular
28,48,80,32,20,8,821,50,60,100,40,1/1/10,South,Oklahoma,580,Small Market,Coffee,Decaf Irish Cream,Decaf
95,130,219,89,35,24,777,90,110,180,70,1/1/10,South,Texas,325,Major Market,Espresso,Caffe Mocha,Regular
54,80,134,54,26,15,456,60,70,110,40,1/1/10,South,Texas,956,Major Market,Espresso,Decaf Espresso,Decaf
33,80,140,60,47,19,336,50,80,130,50,1/1/10,South,Texas,281,Major Market,Herbal Tea,Chamomile,Decaf
